ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;male_engagement;exploited_resource;study_type;nest_availability_difference;resource_facet_manipulated;PRED;pred;response_variable;I_type;lnCRV;N
E.S. 32;38;Reichard et al 2008;2008;Rhodeus amarus;Rhodeus_amarus;Actinopterygii;Cypriniformes;2_pisc;polygamy;no_care;no;mussels shells;exp_lab;NA;dispo;P2;sexual selection index;I mates;SP;1.022746538;60
E.S. 33;38;Reichard et al 2008;2008;Rhodeus amarus;Rhodeus_amarus;Actinopterygii;Cypriniformes;2_pisc;polygamy;no_care;no;mussels shells;exp_lab;NA;dispo;P2;sexual selection index;I mates;SP;0.946411039;60
E.S. 34;40;Saraiva et al 2009;2009;Salaria pavo;Salaria_pavo;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;rock crevices;exp_lab;NA;dispo;P2 - I calculation;reproductive success;mean number of eggs between treatments;SP;0.112201435;116
E.S. 35;44;Takahashi 2008;2008;Tridentiger brevispinis;Tridentiger_brevispinis;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;under rocks;exp_field;yes;quant;P2 - I calculation;reproductive success;mean number of eggs;SP;0.710086981;65
E.S. 36;49;Lugli et al 1992;1992;Padogobius martensi;Padogobius_martensi;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;rocks;obs;no;quant;P2 - I calculation;reproductive success;mean number of eggs per nest;SP;-0.222277901;155
E.S. 37;50;Mill & Reynolds 2003;2003;Rhodeus sericeus;Rhodeus_sericeus;Actinopterygii;Cypriniformes;2_pisc;polygamy;no_care;no;mussels shells;exp_lab;yes;quant;P2;sexual selection index;oportunity for sexual selection;SP;-0.542743227;210
E.S. 38;51;Waker & Amundsen 2014;2014;Gobiusculus flavescens;Gobiusculus_flavescens;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;pvc tubes;exp_lab;yes;quant;P2;sexual selection index;opportunity for sexual selection (nest);SP;0.821432938;124
E.S. 39;51;Waker & Amundsen 2014;2014;Gobiusculus flavescens;Gobiusculus_flavescens;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;pvc tubes;exp_lab;yes;quant;P2;sexual selection index;opportunity for sexual selection (mates);SP;0.211309094;124
E.S. 40;51;Waker & Amundsen 2014;2014;Gobiusculus flavescens;Gobiusculus_flavescens;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;pvc tubes;exp_lab;yes;quant;P2;sexual selection index;opportunity for sexual selection (total);SP;0.743803017;124
E.S. 41;55;Przybylski et al 2007;2007;Rhodeus amarus;Rhodeus_amarus;Actinopterygii;Cypriniformes;2_pisc;polygamy;no_care;no;mussels ;exp_field;NA;qualit;P2 - I calculation;reproductive success;mean number of eggs per mussel;SP;-2.688806625;8
E.S. 42;37;Prohl 2002;2002;Dendrobates pumilio;Dendrobates_pumilio;Amphibia;Anura;3_anfi;polygamy;maternal;no;puddles;obs;yes;quant;P2 - I calculation;mating success;male mating success (n matings per male);SP;1.010721089;28
E.S. 43;37;Prohl 2002;2002;Dendrobates pumilio;Dendrobates_pumilio;Amphibia;Anura;3_anfi;polygamy;maternal;no;puddles;obs;yes;quant;P2 - I calculation;mating success;male mating success (n matings per male);SP;0.759760722;20
E.S. 44;37;Prohl 2002;2002;Dendrobates pumilio;Dendrobates_pumilio;Amphibia;Anura;3_anfi;polygamy;maternal;no;puddles;obs;yes;quant;P2 - I calculation;mating success;degree of polygyny (n of female mated per male);SP;0.414925917;28
E.S. 45;37;Prohl 2002;2002;Dendrobates pumilio;Dendrobates_pumilio;Amphibia;Anura;3_anfi;polygamy;maternal;no;puddles;obs;yes;quant;P2 - I calculation;mating success;degree of polygyny (n of female mated per male);SP;0.500309832;20
E.S. 46;37;Prohl 2002;2002;Dendrobates pumilio;Dendrobates_pumilio;Amphibia;Anura;3_anfi;polygamy;maternal;no;puddles;obs;yes;quant;P2;sexual selection index;opportunity for sexual selection and coeficient of variance;SP;0.88633841;28
E.S. 47;37;Prohl 2002;2002;Dendrobates pumilio;Dendrobates_pumilio;Amphibia;Anura;3_anfi;polygamy;maternal;no;puddles;obs;yes;quant;P2;sexual selection index;opportunity for sexual selection and coeficient of variance;SP;1.185623666;20
E.S. 48;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_ave;polygamy;biparental;yes;tree hollows and nest box;exp_field;yes;quant;P2 - I calculation;reproductive success;mean clutch size;SP;0.395032388;55
